level,run,original_mean,boot_mean,ci_level,ci_lower,ci_upper,instrument,nominal
data_SRP_45,29,46.5361111111111,46.5352913888889,0.95,46.1833333333333,46.8230636109285,SRP,45
data_SRP_45,30,46.5361111111111,46.5339908333333,0.95,46.1815968874932,46.825,SRP,45
data_SRP_90,1,93.6472222222222,93.6439927777778,0.95,93.1348794011429,94.0833333333333,SRP,90
data_SRP_90,2,93.6472222222222,93.6505227777778,0.95,93.1416666666667,94.0694444444444,SRP,90
data_SRP_90,3,93.6472222222222,93.6464322222222,0.95,93.1416666666667,94.0916666666667,SRP,90
data_SRP_90,4,93.6472222222222,93.6436930555556,0.95,93.1444444444444,94.0777777777778,SRP,90
data_SRP_90,5,93.6472222222222,93.6478361111111,0.95,93.1416666666667,94.0777777777778,SRP,90
data_SRP_90,6,93.6472222222222,93.6458213888889,0.95,93.1444444444444,94.0833333333333,SRP,90
data_SRP_90,7,93.6472222222222,93.6483811111111,0.95,93.1444444444444,94.0861111111111,SRP,90
data_SRP_90,8,93.6472222222222,93.6497827777778,0.95,93.1447322352045,94.0833333333333,SRP,90
data_SRP_90,9,93.6472222222222,93.6492658333333,0.95,93.1638888888889,94.0777777777778,SRP,90
data_SRP_90,10,93.6472222222222,93.6477044444444,0.95,93.1305555555556,94.0722222222222,SRP,90
data_SRP_90,11,93.6472222222222,93.6469827777778,0.95,93.1527777777778,94.0805555555555,SRP,90
data_SRP_90,12,93.6472222222222,93.6451813888889,0.95,93.1305555555556,94.075,SRP,90
data_SRP_90,13,93.6472222222222,93.6500633333333,0.95,93.1172804096678,94.0694444444444,SRP,90
data_SRP_90,14,93.6472222222222,93.6477891666667,0.95,93.1611111111111,94.0833333333333,SRP,90
data_SRP_90,15,93.6472222222222,93.6444805555556,0.95,93.1489912702087,94.0833333333333,SRP,90
data_SRP_90,16,93.6472222222222,93.6471677777778,0.95,93.1694444444444,94.0915448900042,SRP,90
data_SRP_90,17,93.6472222222222,93.6490408333333,0.95,93.1368234761788,94.0805555555555,SRP,90
data_SRP_90,18,93.6472222222222,93.6502713888889,0.95,93.1416666666667,94.0666666666667,SRP,90
data_SRP_90,19,93.6472222222222,93.6477136111111,0.95,93.1365833547255,94.0777777777778,SRP,90
data_SRP_90,20,93.6472222222222,93.6452961111111,0.95,93.1594755829408,94.0861111111111,SRP,90
data_SRP_90,21,93.6472222222222,93.6475716666667,0.95,93.1361111111111,94.0833333333333,SRP,90
data_SRP_90,22,93.6472222222222,93.6466588888889,0.95,93.1361111111111,94.075,SRP,90
data_SRP_90,23,93.6472222222222,93.6479588888889,0.95,93.1416666666667,94.0694444444444,SRP,90
data_SRP_90,24,93.6472222222222,93.6479325,0.95,93.1416666666667,94.0722222222222,SRP,90
data_SRP_90,25,93.6472222222222,93.6446308333333,0.95,93.1583333333333,94.0694444444444,SRP,90
data_SRP_90,26,93.6472222222222,93.6484575,0.95,93.1638888888889,94.0944444444444,SRP,90
data_SRP_90,27,93.6472222222222,93.6476930555555,0.95,93.1555555555556,94.0888888888889,SRP,90
data_SRP_90,28,93.6472222222222,93.6479311111111,0.95,93.1416666666667,94.0777777777778,SRP,90
data_SRP_90,29,93.6472222222222,93.6509930555556,0.95,93.1277777777778,94.075,SRP,90
data_SRP_90,30,93.6472222222222,93.6480458333333,0.95,93.1305555555556,94.0666666666667,SRP,90
data_SRP_135,1,132.044444444444,132.046255277778,0.95,130.519444444444,133.510135398519,SRP,135
data_SRP_135,2,132.044444444444,132.042546388889,0.95,130.558333333333,133.522742269489,SRP,135
data_SRP_135,3,132.044444444444,132.053248333333,0.95,130.506309903057,133.475,SRP,135
data_SRP_135,4,132.044444444444,132.040660277778,0.95,130.502777777778,133.494444444444,SRP,135
data_SRP_135,5,132.044444444444,132.045427222222,0.95,130.525,133.497222222222,SRP,135
data_SRP_135,6,132.044444444444,132.048067222222,0.95,130.549144508764,133.5,SRP,135
data_SRP_135,7,132.044444444444,132.053329166667,0.95,130.5514271067,133.502373267764,SRP,135
data_SRP_135,8,132.044444444444,132.0483575,0.95,130.486111111111,133.475,SRP,135
data_SRP_135,9,132.044444444444,132.046516666667,0.95,130.538888888889,133.500655591266,SRP,135
data_SRP_135,10,132.044444444444,132.042765555556,0.95,130.48374816101,133.497222222222,SRP,135
data_SRP_135,11,132.044444444444,132.031536666667,0.95,130.527243413392,133.525,SRP,135
data_SRP_135,12,132.044444444444,132.057276388889,0.95,130.56305411201,133.502777777778,SRP,135
data_SRP_135,13,132.044444444444,132.040130277778,0.95,130.529681556532,133.494444444444,SRP,135
data_SRP_135,14,132.044444444444,132.032575833333,0.95,130.586111111111,133.494444444444,SRP,135
data_SRP_135,15,132.044444444444,132.041581666667,0.95,130.525,133.502777777778,SRP,135
data_SRP_135,16,132.044444444444,132.056856388889,0.95,130.541666666667,133.522222222222,SRP,135
data_SRP_135,17,132.044444444444,132.048355,0.95,130.529938754863,133.482653145179,SRP,135
data_SRP_135,18,132.044444444444,132.0393075,0.95,130.503679930273,133.491666666667,SRP,135
data_SRP_135,19,132.044444444444,132.054578333333,0.95,130.522222222222,133.475,SRP,135
data_SRP_135,20,132.044444444444,132.059383333333,0.95,130.511111111111,133.477777777778,SRP,135
data_SRP_135,21,132.044444444444,132.038173611111,0.95,130.502777777778,133.502777777778,SRP,135
data_SRP_135,22,132.044444444444,132.049656666667,0.95,130.508333333333,133.525,SRP,135
data_SRP_135,23,132.044444444444,132.046390277778,0.95,130.52707362748,133.508333333333,SRP,135
data_SRP_135,24,132.044444444444,132.054293611111,0.95,130.505288605431,133.477777777778,SRP,135
data_SRP_135,25,132.044444444444,132.051004444444,0.95,130.555555555556,133.486111111111,SRP,135
data_SRP_135,26,132.044444444444,132.042610555556,0.95,130.516070990111,133.486111111111,SRP,135
data_SRP_135,27,132.044444444444,132.044953333333,0.95,130.522422919978,133.53466071654,SRP,135
