"source_file","level","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20"
"bootstrap_data_o3_vg_120-ppb_conex_D_run_26.csv","120-ppb",120.717166666667,120.671933333333,120.771977777778,120.704722222222,120.741355555556,120.732544444444,120.752677777778,120.632055555556,120.6127,120.680977777778,120.707511111111,120.673966666667,120.770233333333,120.6372,120.6832,120.7204,120.676577777778,120.656111111111,120.748088888889,120.7241
"bootstrap_data_o3_vg_120-ppb_conex_D_run_27.csv","120-ppb",120.735044444444,120.719433333333,120.710033333333,120.696766666667,120.695744444444,120.765333333333,120.761088888889,120.771133333333,120.609655555556,120.719688888889,120.711288888889,120.651122222222,120.681933333333,120.6694,120.626677777778,120.7072,120.690444444444,120.688011111111,120.730811111111,120.616344444444
"bootstrap_data_o3_vg_120-ppb_conex_D_run_28.csv","120-ppb",120.7027,120.757522222222,120.7217,120.723155555556,120.627555555556,120.654155555556,120.645744444444,120.635055555556,120.640822222222,120.701855555556,120.750455555556,120.702344444444,120.669133333333,120.722055555556,120.683422222222,120.695666666667,120.682622222222,120.684866666667,120.717344444444,120.726055555556
"bootstrap_data_o3_vg_120-ppb_conex_D_run_29.csv","120-ppb",120.751611111111,120.658411111111,120.637866666667,120.721577777778,120.705944444444,120.623455555556,120.772566666667,120.620811111111,120.707355555556,120.689233333333,120.725622222222,120.692088888889,120.660655555556,120.748133333333,120.766733333333,120.6962,120.599066666667,120.743233333333,120.692122222222,120.7394
"bootstrap_data_o3_vg_120-ppb_conex_D_run_3.csv","120-ppb",120.6842,120.701266666667,120.689477777778,120.537811111111,120.634911111111,120.598544444444,120.701144444444,120.7114,120.662922222222,120.656433333333,120.806011111111,120.631444444444,120.823877777778,120.6449,120.678177777778,120.681644444444,120.611922222222,120.608744444444,120.754911111111,120.799922222222
"bootstrap_data_o3_vg_120-ppb_conex_D_run_30.csv","120-ppb",120.722933333333,120.617811111111,120.711888888889,120.769877777778,120.679011111111,120.725155555556,120.686388888889,120.672611111111,120.641133333333,120.661288888889,120.7082,120.724577777778,120.781188888889,120.758344444444,120.672977777778,120.672966666667,120.739277777778,120.722477777778,120.661288888889,120.683755555556
"bootstrap_data_o3_vg_120-ppb_conex_D_run_4.csv","120-ppb",120.721511111111,120.655555555556,120.744477777778,120.645255555556,120.656211111111,120.722255555556,120.654355555556,120.646555555556,120.666377777778,120.681388888889,120.706611111111,120.665877777778,120.684522222222,120.703944444444,120.773566666667,120.705877777778,120.6501,120.652722222222,120.773688888889,120.695022222222
"bootstrap_data_o3_vg_120-ppb_conex_D_run_5.csv","120-ppb",120.742633333333,120.664655555556,120.719555555556,120.669622222222,120.683455555556,120.715233333333,120.701277777778,120.635222222222,120.666855555556,120.729422222222,120.684766666667,120.605533333333,120.726588888889,120.651944444444,120.647522222222,120.6812,120.680966666667,120.677466666667,120.756211111111,120.670833333333
"bootstrap_data_o3_vg_120-ppb_conex_D_run_6.csv","120-ppb",120.785577777778,120.718033333333,120.730844444444,120.738111111111,120.736555555556,120.6705,120.7345,120.702311111111,120.694977777778,120.699055555556,120.791611111111,120.771877777778,120.666611111111,120.716433333333,120.714255555556,120.617844444444,120.742411111111,120.718444444444,120.672466666667,120.719988888889
"bootstrap_data_o3_vg_120-ppb_conex_D_run_7.csv","120-ppb",120.656688888889,120.691355555556,120.7086,120.627322222222,120.6738,120.622244444444,120.641455555556,120.655855555556,120.747244444444,120.699111111111,120.618488888889,120.655155555556,120.713877777778,120.680288888889,120.764566666667,120.686,120.714433333333,120.671755555556,120.677233333333,120.6697
"bootstrap_data_o3_vg_120-ppb_conex_D_run_8.csv","120-ppb",120.679177777778,120.721066666667,120.724722222222,120.704,120.645088888889,120.619488888889,120.735322222222,120.690155555556,120.606944444444,120.706022222222,120.670622222222,120.719155555556,120.654855555556,120.749,120.666733333333,120.708922222222,120.690811111111,120.644388888889,120.673633333333,120.671388888889
"bootstrap_data_o3_vg_120-ppb_conex_D_run_9.csv","120-ppb",120.771755555556,120.748066666667,120.729044444444,120.666666666667,120.812577777778,120.628111111111,120.760511111111,120.672933333333,120.681922222222,120.672622222222,120.654777777778,120.695288888889,120.624644444444,120.696977777778,120.755255555556,120.674877777778,120.6116,120.6919,120.650133333333,120.688333333333
"bootstrap_data_o3_vg_120-ppb_conex_M_run_1.csv","120-ppb",119.018299065421,119.111401869159,119.157542056075,119.151813084112,119.069018691589,119.11746728972,119.102299065421,119.121934579439,119.138495327103,119.201925233645,119.108990654206,119.199028037383,119.035177570093,119.054308411215,119.071485981308,119.140728971963,119.142327102804,119.051813084112,119.108822429907,119.164635514019
"bootstrap_data_o3_vg_120-ppb_conex_M_run_10.csv","120-ppb",119.176859813084,119.060672897196,119.086028037383,119.035121495327,119.096411214953,119.121869158879,119.182299065421,119.045822429907,119.132813084112,118.91514953271,119.022420560748,119.017177570093,119.105214953271,119.131971962617,119.027794392523,119.139308411215,119.012093457944,119.025794392523,119.141252336449,119.147280373832
"bootstrap_data_o3_vg_120-ppb_conex_M_run_11.csv","120-ppb",119.133971962617,119.086869158878,119.095271028037,119.181046728972,119.108841121495,119.069429906542,119.115429906542,119.211457943925,119.135551401869,119.125981308411,119.187672897196,119.103009345794,119.046794392523,119.14676635514,119.177355140187,119.107738317757,119.052981308411,119.115037383178,119.104934579439,119.185056074766
"bootstrap_data_o3_vg_120-ppb_conex_M_run_12.csv","120-ppb",119.032570093458,119.135598130841,119.19176635514,119.134271028037,119.079308411215,119.035775700935,119.171093457944,119.157551401869,119.142887850467,119.082,119.200046728972,119.066364485981,119.29123364486,119.127869158879,119.29891588785,119.161429906542,119.164429906542,119.049971962617,119.204663551402,119.132271028037
"bootstrap_data_o3_vg_120-ppb_conex_M_run_13.csv","120-ppb",119.056626168224,119.07891588785,119.137971962617,118.930009345794,119.105785046729,119.155579439252,118.979065420561,119.058728971963,119.202794392523,119.106392523364,119.169093457944,119.019691588785,119.223308411215,119.102757009346,119.152345794393,118.992289719626,119.003663551402,119.180373831776,119.162177570093,119.114654205607
"bootstrap_data_o3_vg_120-ppb_conex_M_run_14.csv","120-ppb",119.051140186916,119.060981308411,119.188504672897,119.075177570093,119.011065420561,119.093934579439,119.210205607477,119.182757009346,119.090719626168,119.184934579439,119.127009345794,119.070299065421,119.138495327103,119.101280373832,119.202214953271,119.029112149533,119.19846728972,119.120794392523,119.168570093458,119.065299065421
"bootstrap_data_o3_vg_120-ppb_conex_M_run_15.csv","120-ppb",119.157214953271,119.100803738318,119.173457943925,119.024887850467,119.212457943925,119.188485981308,119.123841121495,119.171046728972,119.045093457944,119.076663551402,118.986981308411,119.029355140187,118.936953271028,119.020205607477,119.022168224299,119.150009345794,118.953710280374,119.031654205607,119.241299065421,119.284691588785
"bootstrap_data_o3_vg_120-ppb_conex_M_run_16.csv","120-ppb",119.06761682243,119.17738317757,119.280308411215,119.185757009346,119.111981308411,119.210317757009,119.200691588785,119.094168224299,119.061205607477,119.090252336449,119.052224299065,119.129710280374,119.079598130841,119.138196261682,119.07485046729,119.117476635514,119.164542056075,119.113981308411,119.028925233645,119.114934579439
"bootstrap_data_o3_vg_120-ppb_conex_M_run_17.csv","120-ppb",119.24008411215,119.109028037383,119.092336448598,119.136345794393,119.168934579439,119.047457943925,119.107570093458,119.074224299065,119.148644859813,119.102934579439,118.998065420561,119.026981308411,119.063775700935,119.091224299065,119.113261682243,119.157429906542,119.184308411215,119.069700934579,119.098523364486,119.019
"bootstrap_data_o3_vg_120-ppb_conex_M_run_18.csv","120-ppb",119.024691588785,119.098887850467,119.093644859813,119.162411214953,119.121962616822,119.181757009346,119.117663551402,119.089542056075,119.134775700935,119.109,119.11314953271,119.069635514019,119.217271028037,119.114644859813,119.158551401869,119.212028037383,119.154654205607,119.078074766355,119.06946728972,119.029719626168
"bootstrap_data_o3_vg_120-ppb_conex_M_run_19.csv","120-ppb",119.056943925234,119.158757009346,119.092476635514,118.990037383178,119.243485981308,119.174570093458,119.141523364486,119.139635514019,119.143112149533,119.097682242991,119.151186915888,119.079168224299,119.194224299065,119.134691588785,119.179158878505,119.111831775701,119.119214953271,119.196037383178,118.972121495327,118.996457943925
"bootstrap_data_o3_vg_120-ppb_conex_M_run_2.csv","120-ppb",119.146607476636,119.070785046729,119.03046728972,119.122028037383,119.110700934579,119.172271028037,119.089579439252,118.997046728972,119.152785046729,119.113841121495,119.086971962617,119.167878504673,119.187308411215,119.130588785047,119.162644859813,118.951971962617,119.116598130841,119.097822429907,119.230635514019,119.129242990654
"bootstrap_data_o3_vg_120-ppb_conex_M_run_20.csv","120-ppb",119.142196261682,119.055074766355,119.067158878505,119.096448598131,119.21223364486,119.107495327103,118.982728971963,119.135355140187,119.029196261682,119.039485981308,119.144663551402,119.072971962617,119.042794392523,119.072158878505,119.140542056075,119.075373831776,119.126018691589,119.06853271028,119.191682242991,119.006345794393
"bootstrap_data_o3_vg_120-ppb_conex_M_run_21.csv","120-ppb",119.200121495327,119.098981308411,119.049168224299,119.168457943925,119.104607476636,119.023813084112,119.117046728972,119.127102803738,119.19508411215,119.097448598131,119.029009345794,119.014476635514,118.979682242991,119.147271028037,119.052570093458,119.014392523364,119.122130841121,119.046102803738,119.089336448598,119.06076635514
"bootstrap_data_o3_vg_120-ppb_conex_M_run_22.csv","120-ppb",119.197018691589,119.117794392523,119.090785046729,119.241897196262,119.068177570093,119.044962616822,119.221728971963,119.104028037383,119.150775700935,119.101887850467,119.02485046729,118.993392523364,119.199242990654,119.110672897196,119.05114953271,119.210700934579,119.147280373832,118.966523364486,119.068663551402,119.049186915888
"bootstrap_data_o3_vg_120-ppb_conex_M_run_23.csv","120-ppb",119.072271028037,119.082168224299,119.104485981308,119.164373831776,119.126401869159,119.134280373832,119.076196261682,119.057691588785,119.028317757009,119.133355140187,119.143280373832,119.103364485981,119.115588785047,119.165252336449,119.085299065421,119.149018691589,118.991841121495,119.14985046729,119.184485981308,119.062308411215
